Key,Value
ui_localize_dungeon_tile_buff_defance,DEF Increase
ui_localize_dungeon_tile_buff_defance_desc,Every Hero's DEF is randomly increased between <%1%>% to <%2%>%. The effect lasts until you exit the dungeon.
ui_localize_dungeon_tile_debuff_defance,DEF Decrease
ui_localize_dungeon_tile_debuff_defance_desc,Every Hero's DEF is randomly decreased between <%1%>% to <%2%>%. The effect lasts until you exit the dungeon.
ui_localize_dungeon_tile_jailkey,Heavy Hammer
ui_localize_dungeon_tile_jailkey_desc,A hammer that can release a teammate who has been trapped by ice magic.<%enter%><%enter%>Releases a trapped Hero when used on an Ice Magic Tile.
ui_localize_dungeon_tile_explore,Dungeon Lighthouse
ui_localize_dungeon_tile_explore_desc,"Even in pitch-dark places, there is always light.<%enter%><%enter%>Momentarily lights up the tiles up to <%1%> tiles ahead from the current position."
ui_localize_dungeon_tile_coinreward,Greedy Cat
ui_localize_dungeon_tile_coinreward_desc,Something good might happen if you give some coins to the cat.<%enter%><%enter%>Would you like to spend <%1%> Dungeon Coins to receive a reward?
ui_localize_dungeon_tile_jail,Ice Magic
ui_localize_dungeon_tile_jail_desc,"The ice magic in the dungeon seems to have been placed by a mean mage, and it freezes everything and makes them unable to do anything.<%enter%><%enter%>Makes a random Hero unable to use. You can remove the effect with the item you can get from the Heavy H"
ui_localize_dungeon_tile_move,Forced Move
ui_localize_dungeon_tile_move_desc,"In this place, you only move as fate guides you.<%enter%><%enter%>Roll a dice and move according to the result towards the direction specified on the tile."
ui_localize_dungeon_tile_trap,Trap
ui_localize_dungeon_tile_trap_desc,You should always be careful of the floor in a dark place.<%enter%><%enter%>Every Hero’s HP is decreased by <%1%>% from their current HP.
ui_localize_dungeon_tile_wall,High Wall
ui_localize_dungeon_tile_wall_desc,A high wall is surrounding the place.<%enter%>You need a special key to pass this wall.<%enter%><%enter%>Would you like to use a key?
ERROR_DUNGEON_NOT_ENTRY,You can’t enter the dungeon.
ui_localize_dungeon_ing_start,This dungeon is in progress.<%enter%>Would you like to enter the dungeon?
ui_localize_dungeon_clear,Underground Dungeon Clear!!
ui_localize_dungeon_clear_desc,You have completed the dungeon exploration.
ui_localize_dungeon_not_move_point,You can’t move there.
ui_localize_dungeon_brand_new,A new dungeon has been unlocked.
ui_loclize_dungeon_chapter_unlock_title,Unlock Condition
ui_loclize_dungeon_chapter_unlock_desc_1,Clear Stage <%1%>
ui_loclize_dungeon_chapter_unlock_desc_2,Achieve progress of <%2%>% in “<%1%>” Underground Dungeon
ui_localize_dungeon_no_more_get_dungeoncoin,You can’t obtain Dungeon Coins anymore.
ui_localize_dungeon_stop_dungeon,You already stopped the dungeon.
ui_loclize_dungeon_do_not_move,You can’t move anymore.
ERROR_DUNGEON_ALREADY_GET_REWARD,You already received this reward.
ERROR_DUNGEON_ALREADY_GET_CLEAER,You already cleared this dungeon.
ERROR_DUNGEON_DONT_BATTLE_HERO,You don't have any Hero who can fight in battle.
ui_localize_dungeon_get_reward_100,You have received all the major rewards of the dungeon.
ui_localize_dungeon_wall_key_title,Pass Key
ui_localize_dungeon_wall_key_desc,A special key to open a blocked passage.
ERROR_DUNGEON_ALREADY_USED_TILE,You already used this Tile.
ERROR_DUNGEON_COIN_REWARD_NOTHING,The cat doesn't have any more reward.
ui_localize_dungeon_do_not_play,All Heroes who entered the Underground Dungeon have become unable to battle.<%enter%><%enter%> Would you like to stop the exploration?
ui_localize_dungeon_dungeon_cancel,There is an Underground Dungeon in progress. Would you like to stop the ongoing Underground Dungeon and explore a new one?
ui_localize_dungeon_coming_soon,Standby...
ui_localize_dungeon_cant_use_hero_lv,You don't own any Hero whose level is over <%1%>.
ui_localize_dungeon_title_1,Secret Place in the Abbey
ui_localize_dungeon_title_2,Cursed Lighthouse Basement
ui_localize_dungeon_title_3,Abandoned Mercenary HQ
ui_localize_dungeon_title_4,Lake Bottom
ui_localize_dungeon_title_5,Stopped Windmill Basement
ui_localize_dungeon_title_6,Remote Alleyway Basement
ui_localize_dungeon_desc_1,"They say that a vast and dark place has been discovered deep in the basement of the Abbey of Ankara. No one knows what kind of place is it yet, but it would better to check all over the place very carefully."
ui_localize_dungeon_desc_2,"It is said that the basement of the old lighthouse at Molta, which has not been used for a long time as it was rumored to be cursed, has been opened."
ui_localize_dungeon_desc_3,"Rumor has it that a group of mercenaries hid something at the basement of their mercenary HQ building at Western Union, which is the country of mercenaries.  It would be better to keep weak while searching for the hidden treasure from the rumor."
ui_localize_dungeon_desc_4,Legend says that mysterious power is lying at the bottom of the grand lake in Aqua. No one knows what you can find there.  No one can guarantee what can be found and be focused on the traps.
ui_localize_dungeon_desc_5,The breakdown must not be the only reason why the windmill stopped. There are secrets you wouldn't expect in the basement of the stopped windmill at Talia. It would be better not to hide from the battle in there.
ui_localize_dungeon_desc_6,"The deep alleyway between the fancy-looking buildings of Fransisco leads you to a deep, dark place. You must always be careful not to get lost. If you get lost and get stuck somewhere, giving up might be the only option."
ui_localize_dungeon_tile_jail_unlock,Release Ice Magic
ui_localize_dungeon_tile_jail_unlock_desc,"You can use the Heavy Hammer to save the teammate trapped by ice magic, but it can hurt them a little.<%enter%>Would you like to use the Heavy Hammer to save the teammate?"
ui_localize_dungeon_tile_jail_frozen,Frozen Teammate
ui_localize_dungeon_tile_jail_frozen_desc,A teammate has been trapped by ice magic and become unable to move.<%enter%>You should find a Heavy Hammer in the dungeon to save the teammate.
ui_localize_area_dungeon,Underground Dungeon
ui_localize_dungeoncoin,Dungeon Coin
ui_localize_dungeon_tile_conditionreward,Mysterious Box
ui_localize_dungeon_tile_conditionreward_desc,You must meet a specific requirement to open this box.
ui_localize_dungeon_reward_condition_1,Win Boss Battle <%2%> times with the sum of all Buffs and Debuffs being -<%1%>% [Current Sum: <%3%>%]
ui_localize_dungeon_reward_condition_2,Don’t get trapped for more than <%1%> times
ui_localize_dungeon_reward_condition_3,Achieve map exploration rate of <%1%>%
ui_localize_dungeon_reward_condition_4,Win <%1%> battles
ui_localize_dungeon_reward_condition_5,Keep the Heroes locked up in <%1%> prisons
dungeon_help,7. There are daily limits for Gold and Hero EXP you can obtain from the Random Reward Tile at Underground Dungeons.
ui_localize_dungeon_find_new,Looking for a new underground dungeon somewhere.
ui_localize_dungeon_tile_reset,To Oblivion
ui_localize_dungeon_tile_reset_desc,"Wipes everything clean, regardless if it's good or bad.<%enter%>Removes all current buffs and debuffs."
ui_localize_dungeon_title_7,Illegal Underground Gambling House
ui_localize_dungeon_title_8,Broken Machine Room
ui_localize_dungeon_title_9,Ancient Catacombs
ui_localize_dungeon_desc_7,"There is a dark and dangerous place behind the glamorous casino of Vegas. Few are allowed into the site, and once you get in, you can't simply leave as you please."
ui_localize_dungeon_desc_8,"In the machine room of Alchedonia, which is bound to be dark and full of noise, the machines are not the only things that are broken, so do be careful."
ui_localize_dungeon_desc_9,"The ancient catacombs of Transylvania are darker and more dangerous than any other place. However, it is also said to also be more beautiful than anywhere else."
ui_localize_dungeon_box_mission_desc,There is a box that requires the special condition to open somewhere in the dungeon.
ui_localize_dungeon_box_mission_nothing_desc,There is no mystical box in this dungeon.
ui_localize_dungeon_box_mission,Mission
ui_localize_dungeon_box_mission_getreward,[You already received this reward.]
dialog_dungeon_01_start_01,Is this place really the underground of the abbey?
dialog_dungeon_01_start_02,"I didn’t know a place like this existed, either…"
dialog_dungeon_01_start_03,But this dark place relaxes me for some reason.
dialog_dungeon_01_start_04,Let’s check what’s in here.
dialog_dungeon_01_reward_01,I didn't even think we could get these loots.
dialog_dungeon_01_reward_02,Maybe the Goddess gifted these to us to aid us in defeating the Demon King.
dialog_dungeon_01_reward_03,"Well… The more, the merrier, I guess…"
dialog_dungeon_01_end_01,I guess that’s the last of this place.
dialog_dungeon_01_end_02,The number of monsters here was surprising. They made me sweat a little.
dialog_dungeon_01_end_03,I didn't think such a dungeon was located below the abbey.
dialog_dungeon_01_end_04,That means there are other dungeons like this elsewhere.
dialog_dungeon_01_end_05,I hope all these things are the will of the Goddess…
dialog_dungeon_02_start_01,This is the place known as the Cursed Lighthouse of Molta!
dialog_dungeon_02_start_02,That’s just a countryside rumor…
dialog_dungeon_02_start_03,Let’s get in and find out if the rumor is true or not!
dialog_dungeon_02_start_04,"Come on, let’s go!!"
dialog_dungeon_02_start_05,"W, wait… Slow down…"
dialog_dungeon_02_reward_01,There are always cursed treasures near the sea…
dialog_dungeon_02_reward_02,A curse? Is it real?
dialog_dungeon_02_reward_03,Just kidding! I don't see anything like that.
dialog_dungeon_02_reward_04,That’s a relief.
dialog_dungeon_02_end_01,I guess the rumor of curse was false.
dialog_dungeon_02_end_02,Maybe someone living in this dull countryside got bored and created that strange rumor…
dialog_dungeon_02_end_03,But I had fun here!
dialog_dungeon_02_end_04,If you say so…
dialog_dungeon_02_end_05,Let’s search for another place like this someday!
dialog_dungeon_03_start_01,So this is the rumored mercenary HQ…
dialog_dungeon_03_start_02,Hmm… Doesn't really look like an HQ.
dialog_dungeon_03_start_03,It’s a secret after all. Turn back if you don’t want to come along.
dialog_dungeon_03_start_04,No. I have a feeling that I’ll be able to find some good drink in this place!
dialog_dungeon_03_start_05,Tsk… I wanted to have all the treasures to myself…
dialog_dungeon_03_reward_01,Hmm… Is there no alcohol in this place…?
dialog_dungeon_03_reward_02,Wait! Don't mess around! That’s my share!
dialog_dungeon_03_reward_03,Don't worry. I won't take anything other than alcohol!
dialog_dungeon_03_reward_04,Hey! What are you stuffing in your bag?!
dialog_dungeon_03_end_01,"Hmph, just a bunch of weaklings."
dialog_dungeon_03_end_02,But it was quite tough.
dialog_dungeon_03_end_03,You didn’t do much.
dialog_dungeon_03_end_04,But I got a pretty good alcohol!
dialog_dungeon_03_end_05,Tsk…
dialog_dungeon_03_end_06,Oh! Wait for me!
dialog_dungeon_04_start_01,I didn't think the bottom of the lake would be like this…
dialog_dungeon_04_start_02,"I heard that the kingdom sinking. It would reach this place soon, I guess?"
dialog_dungeon_04_start_03,Please don’t say something like that…
dialog_dungeon_04_start_04,"Anyway, let's look around for some useful ingredients for new potions!"
dialog_dungeon_04_reward_01,It feels damp here. Maybe because we’re at the bottom of a lake.
dialog_dungeon_04_reward_02,I’m not sure about that. This place is protected with magic…
dialog_dungeon_04_reward_03,But there are quite a few interesting things here that I can use as ingredients!
dialog_dungeon_04_reward_04,"Umm, you should be moderate in gathering…"
dialog_dungeon_04_end_01,I think the problem in this place is settled now… Thank you for your help.
dialog_dungeon_04_end_02,"I didn't do much, though!"
dialog_dungeon_04_end_03,"And the kingdom is still sinking, remember?"
dialog_dungeon_04_end_04,We need more help from other people…
dialog_dungeon_04_end_05,"Don’t worry too much. Everything has a side effect, you know!"
dialog_dungeon_04_end_06,Please stop saying things like that…
dialog_dungeon_05_start_01,I didn't know a place like this existed under the windmill.
dialog_dungeon_05_start_02,Maybe I can gather some useful ingredients here!
dialog_dungeon_05_start_03,Will I be able to make a new dessert with them?
dialog_dungeon_05_start_04,Maybe I can cook up an amazing dish! Let’s go!
dialog_dungeon_05_reward_01,I don't see any cooking ingredient… Only treasures…
dialog_dungeon_05_reward_02,It’s time for a dessert!
dialog_dungeon_05_reward_03,"But first, a cuisine!!"
dialog_dungeon_05_reward_04,It’s always welcome to eat sweet things♪
dialog_dungeon_05_end_01,"No matter how hard I search, I can't find a single new cooking ingredient…"
dialog_dungeon_05_end_02,Maybe it’s because big sister has tried every ingredient in our kingdom…?
dialog_dungeon_05_end_03,"No, that’s not… Oh! Look at the time! It’s time to start preparing a meal! And desserts!"
dialog_dungeon_05_end_04,Desserts must not be forgotten!
dialog_dungeon_05_end_05,Let's go now before I get late!
dialog_dungeon_06_start_01,My clothes will be ruined if I stay at a dirty place like this!
dialog_dungeon_06_start_02,But I heard that there is important information here.
dialog_dungeon_06_start_03,Are you really sure about that important information?
dialog_dungeon_06_start_04,"…We’ll see. Come on, let’s go!"
dialog_dungeon_06_reward_01,"Hmm. Well, we’ve got some good enough things, although the shapes are a bit unsatisfactory."
dialog_dungeon_06_reward_02,"These are very useful in battles, you know?"
dialog_dungeon_06_reward_03,Design is more important than performance!
dialog_dungeon_06_end_01,My designer clothes are getting covered with dust…
dialog_dungeon_06_end_02,I think we’ve checked pretty much everywhere around here.
dialog_dungeon_06_end_03,No useful information… I don’t think there’s anything else to do here.
dialog_dungeon_06_end_04,Then let’s get out of here! My precious designer items will be ruined if we stay here any longer!
dialog_dungeon_06_end_05,Slow down! You’ll get more dust if you run here!
dialog_dungeon_01_start_title,Abbey and Underground Dungeon
dialog_dungeon_01_reward_title,Dungeon Loots
dialog_dungeon_01_end_title,Explore Underground Dungeon
dialog_dungeon_02_start_title,Cursed Lighthouse of Molta
dialog_dungeon_02_reward_title,Cursed Treasure
dialog_dungeon_02_end_title,The Truth Behind the Rumor
dialog_dungeon_03_start_title,Secret Mercenary HQ
dialog_dungeon_03_reward_title,Treasure and Drink
dialog_dungeon_03_end_title,Satisfaction and Dissatisfaction
dialog_dungeon_04_start_title,The Deep Side of the Lake
dialog_dungeon_04_reward_title,Interesting Stuff
dialog_dungeon_04_end_title,Positive Life
dialog_dungeon_05_start_title,Windmill and Ingredients
dialog_dungeon_05_reward_title,Desert Time
dialog_dungeon_05_end_title,A Time to Remember
dialog_dungeon_06_start_title,Messy Street
dialog_dungeon_06_reward_title,Difference of Perspective
dialog_dungeon_06_end_title,The Reason to Walk Slowly
dialog_dungeon_01_find_title,Something Nice to Have
dialog_dungone_01_find_01,I wouldn’t be surprised if there’s an Artifact here.
dialog_dungone_01_find_02,What is Artifact?
dialog_dungone_01_find_03,"Umm… It's, uh… something really nice to have…?"
dialog_dungone_01_find_04,"If you don’t know, just say so."
dialog_dungeon_02_find_title,Every Pirate’s Dream
dialog_dungone_02_find_01,It’s every pirate’s dream to find treasures hidden in a suspicious place like this.
dialog_dungone_02_find_02,Have you found many treasures so far?
dialog_dungone_02_find_03,That’s top secret…
dialog_dungone_02_find_04,"Somehow, I can guess what that secret is."
dialog_dungeon_03_find_title,Break and Drink
dialog_dungone_03_find_01,"How about taking a break? You seem a little parched, so have a cup of drink."
dialog_dungone_03_find_02,Hey… Wait a second! This is alcohol!
dialog_dungone_03_find_03,"No, it’s just a drink made of grapes!"
dialog_dungone_03_find_04,"Wine is alcohol, too!"
dialog_dungeon_04_find_title,Greed-inducing Materials
dialog_dungone_04_find_01,"Ah! This is...!? Oh, what?! Look at this one!"
dialog_dungone_04_find_02,"H, hey. Could you help me here for a second…?"
dialog_dungone_04_find_03,"Ah! I’m sorry! There’s so many new things! Ah, I’ll definitely take that one!"
dialog_dungone_04_find_04,Please. Help…
dialog_dungeon_05_find_title,Treasure-like Ingredients
dialog_dungone_05_find_01,"I feel like I can find something here, but I haven’t found any…"
dialog_dungone_05_find_02,I wish there’s something sweet!
dialog_dungone_05_find_03,"Some unknown ingredients too, I hope!"
dialog_dungone_05_find_04,Let’s search around some more! There must be materials here that's as good as treasure!
dialog_dungeon_06_find_title,Dark Street
dialog_dungone_06_find_01,When will we get out of here? My clothes are getting dirt on them…
dialog_dungone_06_find_02,"Hmm… We’ve seen about half of it, I reckon."
dialog_dungone_06_find_03,I think my gems are losing their luster…
dialog_dungone_06_find_04,It’s just because this place is dark.
dialog_dungeon_07_start_title,Exploration Request
dialog_dungeon_07_start_01,The request is simple. All you have to do is explore this place with me♡
dialog_dungeon_07_start_02,Ah! Yes! Of course! I’m ready!
dialog_dungeon_07_start_03,"It might be a bit dangerous, but I’ll be sure to pay you handsomely♡"
dialog_dungeon_07_start_04,"Oh! Yes! I, uhh… Thank you."
dialog_dungeon_07_start_05,"Now, shall we begin?♡"
dialog_dungeon_07_reward_title,Dangerous Deal
dialog_dungeon_07_reward_01,"There's nothing really important here, but there’s some pretty decent things lying around."
dialog_dungeon_07_reward_02,These things here look dangerous to me for some reason… What are they…?
dialog_dungeon_07_reward_03,"Hmm… Some secret funds for shady syndicates, I presume?"
dialog_dungeon_07_reward_04,"Well, even if things go wrong, we can handle whoever they send after us. It’s alright♡"
dialog_dungeon_07_reward_05,"No, it’s not!"
dialog_dungeon_07_find_title,Different Senses
dialog_dungone_07_find_01,They say that this place used to be an illegal gambling house. It's filled with all sorts of dangerous stuff♡
dialog_dungone_07_find_02,And why did you come to a place like this…?
dialog_dungone_07_find_03,Because a place like this is full of dangerous tricks♡ Doesn't that move your heart?
dialog_dungone_07_find_04,My heart is moving in a different sense right now…
dialog_dungeon_07_end_title,An Offer You Must Refuse
dialog_dungeon_07_end_01,I think we’ve checked every nook and cranny of this place. Are you getting tired?
dialog_dungeon_07_end_02,"No, I’m fine. I’m used to traveling around!"
dialog_dungeon_07_end_03,"Now that you’ve collected your reward, how about stopping by at the casino?♡"
dialog_dungeon_07_end_04,"Uhh… I think I’ll pass, thanks. Now, if you’ll excuse me…"
dialog_dungeon_07_end_05,It’s an opportunity to double your reward! Don’t run away!
dialog_dungeon_08_start_title,On-site Repair
dialog_dungeon_08_start_01,So where’s the broken stuff?
dialog_dungeon_08_start_02,Umm… Where is it?
dialog_dungeon_08_start_03,Why are you asking ME!?
dialog_dungeon_08_start_04,It’s definitely somewhere around here.
dialog_dungeon_08_start_05,"Oh, well. Let’s take a look around."
dialog_dungeon_08_reward_title,Top Secret
dialog_dungeon_08_reward_01,Is it this broken stuff?
dialog_dungeon_08_reward_02,"Oh, that seems to be it! I think she said she put something important in it."
dialog_dungeon_08_reward_03,One second. Hmm… Hmhmm… This is quite a…
dialog_dungeon_08_reward_04,Huh? Is it open?
dialog_dungeon_08_reward_05,"What is this? A “Top Secret Drink Recipe”…? Wait, is this…!?"
dialog_dungeon_08_reward_06,Oof. That's a secret!
dialog_dungeon_08_find_title,Memory of Strawberry
dialog_dungone_08_find_01,It’s getting a bit hot. Maybe it’s these strange machine-like things.
dialog_dungone_08_find_02,"Would you like a cool, strawberry-flavored…"
dialog_dungone_08_find_03,No. I’m fine.
dialog_dungone_08_find_04,You're turning down my incredible offer?!
dialog_dungeon_08_end_title,Always With You
dialog_dungeon_08_end_01,"Phew… It’s all over, right?"
dialog_dungeon_08_end_02,"Yes! Thank you for your hard work! Here, have a taste!"
dialog_dungeon_08_end_03,What is this?
dialog_dungeon_08_end_04,"It’s my new potion! With this, you can regenerate your stamina anywhere, anytime!"
dialog_dungeon_08_end_05,"Only 999,999 Stars! Buy right now, and…"
dialog_dungeon_08_end_06,"…No, thanks."
dialog_dungeon_09_start_title,Going Home
dialog_dungeon_09_start_01,How does it feel to be back in your hometown? It’s been a long while.
dialog_dungeon_09_start_02,"I’ll go right back once I finish the job. What did you call me for, anyway?"
dialog_dungeon_09_start_03,"For a date at the dark catacombs with my cute little sister, maybe…?"
dialog_dungeon_09_start_04,"Quit kidding around, will you?"
dialog_dungeon_09_start_05,"You’re no fun. Anyway, I’d like you to check this place with me. Now, shall we?"
dialog_dungeon_09_reward_title,Precious Thing
dialog_dungeon_09_reward_01,"Hmm… It's not here, either. I guessed as much."
dialog_dungeon_09_reward_02,What are you looking for?
dialog_dungeon_09_reward_03,"Well… I can say it’s something quite precious to me. I did get to meet up with my cute little sister, so I can be happy with that."
dialog_dungeon_09_reward_04,Stop joking.
dialog_dungeon_09_reward_05,"You’ll understand too, someday. Let’s go."
dialog_dungeon_09_reward_06,What are you talking about?
dialog_dungeon_09_find_title,Catacombs
dialog_dungone_09_find_01,Do you know about this place?
dialog_dungone_09_find_02,"No… Never even heard of it. So, this place is…?"
dialog_dungone_09_find_03,"Well, as you can see, vampires are buried here. I don't know if they’re actually dead or just asleep, though."
dialog_dungone_09_find_04,Just what are you planning to do here…?
dialog_dungone_09_find_05,You don’t need to know that… Just open any chests if you see them.
dialog_dungone_09_find_06,So you just didn't want to get your hands dirty…
dialog_dungeon_09_end_title,Payment
dialog_dungeon_09_end_01,Let’s go back now. I guess it’s not here.
dialog_dungeon_09_end_02,What in the world are you looking for?
dialog_dungeon_09_end_03,I’ll take my leave if the job is finished.
dialog_dungeon_09_end_04,I’ve prepared some good wine for your hard work. Will you skip that?
dialog_dungeon_09_end_05,…
dialog_dungeon_09_end_06,"Your face tells me that you won’t leave right away. Let’s go, my cute little sister. Come on."
equip_grade_1,D
equip_grade_2,C
equip_grade_3,B
equip_grade_4,B+
equip_grade_5,A
equip_grade_6,A+
equip_grade_7,S
equip_grade_8,S+
equip_grade_9,SS
equip_grade_10,SS+
equip_grade_11,SSS
equip_name_Staff1,Stick
equip_name_Lwpn1,Wooden Sword
equip_name_Hwpn1,Wooden Club
equip_name_Hat1,Headband
equip_name_Hood1,Leather Hood
equip_name_Helm1,Horned Helmet
equip_name_Carmor1,Raincloak
equip_name_Larmor1,Leather Corset
equip_name_Harmor1,Thick Leather Armor
equip_name_Cboots1,Worn Cloth Shoes
equip_name_LBoosts1,Thin Leather Shoes
equip_name_Hboots1,Heavy Leather Shoes
equip_name_Staff2,Wooden Staff
equip_name_Lwpn2,Short Spear
equip_name_Hwpn2,Mace
equip_name_Hat2,Green Hood
equip_name_Hood2,Black Leather Hood
equip_name_Helm2,Iron Helmet
equip_name_Carmor2,Green Robe
equip_name_Larmor2,Archer's Chestguard
equip_name_Harmor2,Iron Armor
equip_name_Cboots2,Green Shoes
equip_name_LBoosts2,Sheepskin Shoes
equip_name_Hboots2,Iron Boots
equip_name_Staff3,Crystal Staff
equip_name_Lwpn3,Steel Sword
equip_name_Hwpn3,Steel Axe
equip_name_Hat3,Mage Academy Hat
equip_name_Hood3,Steel Tiara
equip_name_Helm3,Steel Helmet
equip_name_Carmor3,Mage Academy Robe
equip_name_Larmor3,Hunting Leather Armor
equip_name_Harmor3,Steel Armor
equip_name_Cboots3,Mage Academy Shoes
equip_name_LBoosts3,Hunting Leather Shoes
equip_name_Hboots3,Steel Boots
equip_name_Staff4,Crystal Staff+
equip_name_Lwpn4,Steel Sword+
equip_name_Hwpn4,Steel Axe+
equip_name_Hat4,Mage Academy Hat+
equip_name_Hood4,Steel Tiara+
equip_name_Helm4,Steel Helmet+
equip_name_Carmor4,Mage Academy Robe+
equip_name_Larmor4,Hunting Leather Armor+
equip_name_Harmor4,Steel Armor+
equip_name_Cboots4,Mage Academy Shoes+
equip_name_LBoosts4,Hunting Leather Shoes+
equip_name_Hboots4,Steel Boots+
equip_name_Staff5,Dark Moon Staff
equip_name_Lwpn5,Nightowl Trident
equip_name_Hwpn5,Mace of Holy War
equip_name_Hat5,Dark Moon Witch Hat
equip_name_Hood5,Nightowl Tiara
equip_name_Helm5,Helmet of Holy War
equip_name_Carmor5,Dark Moon Robe
equip_name_Larmor5,Nightowl Chainmail
equip_name_Harmor5,Knight Armor of Holy War
equip_name_Cboots5,Dark Moon Shoes
equip_name_LBoosts5,Nightowl Leather Shoes
equip_name_Hboots5,Boots of Holy War
equip_name_Staff6,Dark Moon Staff+
equip_name_Lwpn6,Nightowl Trident+
equip_name_Hwpn6,Mace of Holy War+
equip_name_Hat6,Dark Moon Witch Hat+
equip_name_Hood6,Nightowl Tiara+
equip_name_Helm6,Helmet of Holy War+
equip_name_Carmor6,Dark Moon Robe+
equip_name_Larmor6,Nightowl Chainmail+
equip_name_Harmor6,Knight Armor of Holy War+
equip_name_Cboots6,Dark Moon Shoes+
equip_name_LBoosts6,Nightowl Leather Shoes+
equip_name_Hboots6,Boots of Holy War+
equip_name_Staff7,Tears of Starlight
equip_name_Lwpn7,Claws of Eagle
equip_name_Hwpn7,Rage of Valkyrie
equip_name_Hat7,Whisper of Starlight
equip_name_Hood7,Eyes of Eagle
equip_name_Helm7,Will of Valkyrie
equip_name_Carmor7,Smile of Starlight
equip_name_Larmor7,Valor of Eagle
equip_name_Harmor7,Heart of Valkyrie
equip_name_Cboots7,Scent of Starlight
equip_name_LBoosts7,Wings of Eagle
equip_name_Hboots7,Courage of Valkyrie
equip_name_Staff8,Tears of Starlight+
equip_name_Lwpn8,Claws of Eagle+
equip_name_Hwpn8,Rage of Valkyrie+
equip_name_Hat8,Whisper of Starlight+
equip_name_Hood8,Eyes of Eagle+
equip_name_Helm8,Will of Valkyrie+
equip_name_Carmor8,Smile of Starlight+
equip_name_Larmor8,Valor of Eagle+
equip_name_Harmor8,Heart of Valkyrie+
equip_name_Cboots8,Scent of Starlight+
equip_name_LBoosts8,Wings of Eagle+
equip_name_Hboots8,Courage of Valkyrie+
equip_name_Staff9,Pledge of Prophet
equip_name_Lwpn9,Instinct of Phoenix
equip_name_Hwpn9,Tremble of Monarch
equip_name_Hat9,Foresight of Prophet
equip_name_Hood9,Spirit of Phoenix
equip_name_Helm9,Insight of Monarch
equip_name_Carmor9,Precept of Prophet
equip_name_Larmor9,Resolution of Phoenix
equip_name_Harmor9,Protection of Monarch
equip_name_Cboots9,Doubt of Prophet
equip_name_LBoosts9,Challenge of Phoenix
equip_name_Hboots9,Mercy of Monarch
equip_name_Staff10,Pledge of Prophet+
equip_name_Lwpn10,Instinct of Phoenix+
equip_name_Hwpn10,Tremble of Monarch+
equip_name_Hat10,Foresight of Prophet+
equip_name_Hood10,Spirit of Phoenix+
equip_name_Helm10,Insight of Monarch+
equip_name_Carmor10,Precept of Prophet+
equip_name_Larmor10,Resolution of Phoenix+
equip_name_Harmor10,Protection of Monarch+
equip_name_Cboots10,Doubt of Prophet+
equip_name_LBoosts10,Challenge of Phoenix+
equip_name_Hboots10,Mercy of Monarch+
equip_name_Staff11,Divine Pledge of Prophet
equip_name_Lwpn11,Divine Instinct of Phoenix
equip_name_Hwpn11,Divine Tremble of Monarch
equip_name_Hat11,Divine Foresight of Prophet
equip_name_Hood11,Divine Spirit of Phoenix
equip_name_Helm11,Divine Insight of Monarch
equip_name_Carmor11,Divine Precept of Prophet
equip_name_Larmor11,Divine Resolution of Phoenix
equip_name_Harmor11,Divine Protection of Monarch
equip_name_Cboots11,Divine Doubt of Prophet
equip_name_LBoosts11,Divine Challenge of Phoenix
equip_name_Hboots11,Divine Mercy of Monarch
signature_name_redhood,
signature_name_highelf,
signature_name_bullygirl,
signature_name_pirate,
signature_name_gambler,
signature_name_baba,
signature_name_crusader,
signature_name_ladydeath,
signature_name_darkelf,
signature_name_nun,
signature_name_ice,
signature_name_cook,
signature_name_fiance,
signature_name_rabbit,
signature_name_swordcat,
signature_name_flower,
signature_name_middle,
signature_name_bdragon,
signature_name_queen,
signature_name_gdragon,
signature_name_dualcross,
signature_name_foxy,
signature_name_priest,
signature_name_miko,
signature_name_rdragon,
signature_name_akimbo,
signature_name_sugar,
signature_name_water,
equip_name_Kasim_Shield,Kasim's Shield
equip_name_Kasim_Cloak,Kasim's Wing Cloak
equip_name_Kasim_Necklace,Kasim’s Fang Necklace
equip_name_Kasim_Earring,Kasim’s Dragon Eye Earrings
equip_name_Kasim_Glass,Kasim's Goblet
equip_name_Kasim_Crown,Kasim's Crown
equip_name_Kasim_Heart,Kasim's Dragon Heart
equip_desc_Staff1,A stick that looks like a piece remained after making a broom. Can it really wield magic?
equip_desc_Lwpn1,A sword made of roughly carved wood. Isn’t this a toy for children?
equip_desc_Hwpn1,A thick wooden stick. People want money for this?
equip_desc_Hat1,A cheap headband you can easily get in a general store. It's quite doubtful if anyone would really want this.
equip_desc_Hood1,A hood made of leather. Looks like it would be mainly worn by blacksmiths.
equip_desc_Helm1,A leather helmet attached with a horn. The big horn makes it quite heavy.
equip_desc_Carmor1,A cloak mainly worn when it's rainy or snowy. People use it to prevent the clothes they hold dear from getting wet.
equip_desc_Larmor1,"A corset used to tighten the wearer's waist. It's for making you look thin, not for battle."
equip_desc_Harmor1,An armor made by putting thick leather over the clothes. It's heavy and ugly.
equip_desc_Cboots1,Shoes made of collected worn and faded cloths. The merit is that they are very cheap.
equip_desc_LBoosts1,Light shoes made of thin leather. The light weight makes them easy to be used throughout daily life.
equip_desc_Hboots1,Shoes made by roughly sewing thick leather. Water leaks when it's rainy.
